2023/06/12 21:01:18 VMs 1, executed 18501, corpus cover 18681, corpus signal 24645, max signal 27243, crashes 0, repro 0
2023/06/12 21:01:28 VMs 1, executed 18501, corpus cover 18902, corpus signal 24918, max signal 27243, crashes 0, repro 0
2023/06/12 21:01:38 VMs 1, executed 18861, corpus cover 19082, corpus signal 25158, max signal 27385, crashes 0, repro 0
2023/06/12 21:01:48 VMs 1, executed 19322, corpus cover 19251, corpus signal 25398, max signal 27810, crashes 0, repro 0
2023/06/12 21:01:58 VMs 1, executed 19627, corpus cover 19353, corpus signal 25544, max signal 27991, crashes 0, repro 0
2023/06/12 21:02:08 VMs 1, executed 20038, corpus cover 19443, corpus signal 25674, max signal 28111, crashes 0, repro 0
2023/06/12 21:02:18 VMs 1, executed 20482, corpus cover 19547, corpus signal 25834, max signal 29600, crashes 0, repro 0
2023/06/12 21:02:28 VMs 1, executed 20482, corpus cover 19574, corpus signal 25875, max signal 29600, crashes 0, repro 0
2023/06/12 21:02:38 VMs 1, executed 20638, corpus cover 19618, corpus signal 25942, max signal 29641, crashes 0, repro 0
2023/06/12 21:02:48 VMs 1, executed 20824, corpus cover 19933, corpus signal 26419, max signal 29647, crashes 0, repro 0
2023/06/12 21:02:58 VMs 1, executed 21752, corpus cover 20317, corpus signal 26970, max signal 29729, crashes 0, repro 0
2023/06/12 21:03:08 VMs 1, executed 22339, corpus cover 20418, corpus signal 27123, max signal 29773, crashes 0, repro 0
2023/06/12 21:03:18 VMs 1, executed 22969, corpus cover 20506, corpus signal 27263, max signal 29911, crashes 0, repro 0
2023/06/12 21:03:28 VMs 1, executed 22969, corpus cover 20714, corpus signal 27668, max signal 29911, crashes 0, repro 0
2023/06/12 21:03:38 VMs 1, executed 23431, corpus cover 20803, corpus signal 27790, max signal 30258, crashes 0, repro 0
2023/06/12 21:03:48 VMs 1, executed 23743, corpus cover 21144, corpus signal 28268, max signal 30746, crashes 0, repro 0
2023/06/12 21:03:58 VMs 1, executed 24499, corpus cover 21434, corpus signal 28654, max signal 31276, crashes 0, repro 0
2023/06/12 21:04:08 VMs 1, executed 24763, corpus cover 21468, corpus signal 28704, max signal 31292, crashes 0, repro 0
2023/06/12 21:04:18 VMs 1, executed 24897, corpus cover 21474, corpus signal 28717, max signal 31304, crashes 0, repro 0
2023/06/12 21:04:28 VMs 1, executed 24897, corpus cover 21487, corpus signal 28743, max signal 31304, crashes 0, repro 0
2023/06/12 21:04:38 VMs 1, executed 25077, corpus cover 21691, corpus signal 28866, max signal 31368, crashes 0, repro 0
2023/06/12 21:04:48 VMs 1, executed 25644, corpus cover 21894, corpus signal 29141, max signal 32141, crashes 0, repro 0
2023/06/12 21:04:58 VMs 1, executed 26191, corpus cover 22543, corpus signal 29740, max signal 32443, crashes 0, repro 0
2023/06/12 21:05:08 VMs 1, executed 26951, corpus cover 23974, corpus signal 31051, max signal 33975, crashes 0, repro 0
2023/06/12 21:05:18 VMs 1, executed 27507, corpus cover 24007, corpus signal 31147, max signal 34356, crashes 0, repro 0
2023/06/12 21:05:28 VMs 1, executed 27507, corpus cover 24043, corpus signal 31208, max signal 34356, crashes 0, repro 0
2023/06/12 21:05:38 VMs 1, executed 28007, corpus cover 24176, corpus signal 31614, max signal 34586, crashes 0, repro 0
2023/06/12 21:05:48 VMs 1, executed 28723, corpus cover 24274, corpus signal 31754, max signal 34881, crashes 0, repro 0
2023/06/12 21:05:58 VMs 1, executed 29545, corpus cover 24346, corpus signal 31874, max signal 35000, crashes 0, repro 0
2023/06/12 21:06:08 VMs 1, executed 30049, corpus cover 24741, corpus signal 32391, max signal 36079, crashes 0, repro 0
2023/06/12 21:06:18 VMs 1, executed 30614, corpus cover 24892, corpus signal 32604, max signal 36195, crashes 0, repro 0
2023/06/12 21:06:28 VMs 1, executed 30614, corpus cover 25232, corpus signal 33080, max signal 36195, crashes 0, repro 0
2023/06/12 21:06:38 VMs 1, executed 31619, corpus cover 25278, corpus signal 33167, max signal 36378, crashes 0, repro 0
2023/06/12 21:06:48 VMs 1, executed 32109, corpus cover 25305, corpus signal 33209, max signal 36605, crashes 0, repro 0
2023/06/12 21:06:58 VMs 1, executed 32339, corpus cover 25373, corpus signal 33306, max signal 36709, crashes 0, repro 0
2023/06/12 21:07:08 VMs 1, executed 32474, corpus cover 25378, corpus signal 33318, max signal 36711, crashes 0, repro 0
2023/06/12 21:07:18 VMs 1, executed 32802, corpus cover 25424, corpus signal 33389, max signal 36729, crashes 0, repro 0
2023/06/12 21:07:28 VMs 1, executed 32802, corpus cover 25602, corpus signal 33674, max signal 36729, crashes 0, repro 0
2023/06/12 21:07:38 VMs 1, executed 33672, corpus cover 25724, corpus signal 33853, max signal 37034, crashes 0, repro 0
2023/06/12 21:07:48 VMs 1, executed 34447, corpus cover 26650, corpus signal 35054, max signal 38354, crashes 0, repro 0
2023/06/12 21:07:58 VMs 1, executed 35223, corpus cover 26715, corpus signal 35161, max signal 38529, crashes 0, repro 0
2023/06/12 21:08:08 VMs 1, executed 35825, corpus cover 26862, corpus signal 35392, max signal 39126, crashes 0, repro 0
2023/06/12 21:08:18 VMs 1, executed 36957, corpus cover 27045, corpus signal 35665, max signal 39302, crashes 0, repro 0
2023/06/12 21:08:28 VMs 1, executed 36957, corpus cover 27149, corpus signal 35839, max signal 39302, crashes 0, repro 0
2023/06/12 21:08:38 VMs 1, executed 37744, corpus cover 27158, corpus signal 35864, max signal 39353, crashes 0, repro 0
2023/06/12 21:08:48 VMs 1, executed 38510, corpus cover 27293, corpus signal 36153, max signal 39720, crashes 0, repro 0
2023/06/12 21:08:58 VMs 1, executed 39360, corpus cover 27338, corpus signal 36232, max signal 39787, crashes 0, repro 0
2023/06/12 21:09:08 VMs 1, executed 39882, corpus cover 27441, corpus signal 36359, max signal 40350, crashes 0, repro 0
2023/06/12 21:09:18 VMs 1, executed 40477, corpus cover 27512, corpus signal 36455, max signal 40428, crashes 0, repro 0
2023/06/12 21:09:28 VMs 1, executed 40477, corpus cover 27658, corpus signal 36659, max signal 40428, crashes 0, repro 0
2023/06/12 21:09:38 VMs 1, executed 41167, corpus cover 27910, corpus signal 36992, max signal 40530, crashes 0, repro 0
2023/06/12 21:09:48 VMs 1, executed 41709, corpus cover 28035, corpus signal 37198, max signal 40827, crashes 0, repro 0
2023/06/12 21:09:58 VMs 1, executed 42211, corpus cover 28082, corpus signal 37274, max signal 40900, crashes 0, repro 0
2023/06/12 21:10:08 VMs 1, executed 43016, corpus cover 28114, corpus signal 37331, max signal 41073, crashes 0, repro 0
2023/06/12 21:10:18 VMs 1, executed 43276, corpus cover 28208, corpus signal 37441, max signal 41270, crashes 0, repro 0
2023/06/12 21:10:28 VMs 1, executed 43276, corpus cover 28486, corpus signal 37889, max signal 41270, crashes 0, repro 0
2023/06/12 21:10:38 VMs 1, executed 44115, corpus cover 28515, corpus signal 37960, max signal 41700, crashes 0, repro 0
2023/06/12 21:10:48 VMs 1, executed 44607, corpus cover 28643, corpus signal 38171, max signal 41844, crashes 0, repro 0
2023/06/12 21:10:58 VMs 1, executed 45078, corpus cover 28755, corpus signal 38363, max signal 41884, crashes 0, repro 0
2023/06/12 21:11:08 VMs 1, executed 45679, corpus cover 28850, corpus signal 38462, max signal 42128, crashes 0, repro 0
2023/06/12 21:11:18 VMs 1, executed 46392, corpus cover 29206, corpus signal 38935, max signal 42568, crashes 0, repro 0
2023/06/12 21:11:28 VMs 1, executed 46392, corpus cover 29356, corpus signal 39139, max signal 42568, crashes 0, repro 0
2023/06/12 21:11:38 VMs 1, executed 47222, corpus cover 29421, corpus signal 39217, max signal 42764, crashes 0, repro 0
2023/06/12 21:11:48 VMs 1, executed 47870, corpus cover 29439, corpus signal 39275, max signal 43385, crashes 0, repro 0
