2023/02/16 19:22:31 VMs 1, executed 0, cover 0, signal 0/0, crashes 0, repro 0
2023/02/16 19:22:41 VMs 1, executed 107, cover 11273, signal 11166/9942, crashes 0, repro 0
2023/02/16 19:22:51 VMs 1, executed 379, cover 17608, signal 20585/20585, crashes 0, repro 0
2023/02/16 19:23:01 VMs 1, executed 608, cover 18716, signal 22106/23383, crashes 0, repro 0
2023/02/16 19:23:11 VMs 1, executed 616, cover 18716, signal 22106/23595, crashes 0, repro 0
2023/02/16 19:23:21 VMs 1, executed 616, cover 18716, signal 22106/23595, crashes 0, repro 0
2023/02/16 19:23:31 VMs 1, executed 616, cover 18716, signal 22106/23595, crashes 0, repro 0
2023/02/16 19:23:41 VMs 1, executed 616, cover 18716, signal 22106/23595, crashes 0, repro 0
2023/02/16 19:23:51 VMs 1, executed 616, cover 18716, signal 22106/23595, crashes 0, repro 0
2023/02/16 19:24:01 VMs 1, executed 625, cover 18978, signal 22437/23753, crashes 0, repro 0
2023/02/16 19:24:11 VMs 1, executed 625, cover 18978, signal 22437/23753, crashes 0, repro 0
2023/02/16 19:24:21 VMs 1, executed 625, cover 18978, signal 22437/23753, crashes 0, repro 0
2023/02/16 19:24:31 VMs 1, executed 625, cover 18978, signal 22437/23753, crashes 0, repro 0
2023/02/16 19:24:41 VMs 1, executed 625, cover 18978, signal 22437/23753, crashes 0, repro 0
2023/02/16 19:24:51 VMs 1, executed 636, cover 18978, signal 22437/23828, crashes 0, repro 0
2023/02/16 19:25:01 VMs 1, executed 636, cover 18978, signal 22437/23828, crashes 0, repro 0
2023/02/16 19:25:11 VMs 1, executed 636, cover 18978, signal 22437/23828, crashes 0, repro 0
2023/02/16 19:25:21 VMs 1, executed 636, cover 18978, signal 22437/23828, crashes 0, repro 0
2023/02/16 19:25:31 VMs 1, executed 636, cover 18978, signal 22437/23828, crashes 0, repro 0
2023/02/16 19:25:41 VMs 1, executed 636, cover 18978, signal 22437/23828, crashes 0, repro 0
2023/02/16 19:25:51 VMs 1, executed 647, cover 18978, signal 22437/23828, crashes 0, repro 0
2023/02/16 19:26:01 VMs 1, executed 647, cover 18978, signal 22437/23828, crashes 0, repro 0
2023/02/16 19:26:11 VMs 1, executed 647, cover 18978, signal 22437/23828, crashes 0, repro 0
2023/02/16 19:26:21 VMs 1, executed 647, cover 18978, signal 22437/23828, crashes 0, repro 0
2023/02/16 19:26:31 VMs 1, executed 647, cover 18978, signal 22437/23828, crashes 0, repro 0
2023/02/16 19:26:41 VMs 1, executed 654, cover 19002, signal 22473/23828, crashes 0, repro 0
2023/02/16 19:26:51 VMs 1, executed 654, cover 19002, signal 22473/24028, crashes 0, repro 0
