2023/03/29 20:47:24 VMs 1, executed 22145, corpus cover 20842, corpus signal 27983, max signal 30724, crashes 0, repro 0
2023/03/29 20:47:34 VMs 1, executed 22936, corpus cover 20931, corpus signal 28129, max signal 30811, crashes 0, repro 0
2023/03/29 20:47:44 VMs 1, executed 23564, corpus cover 21000, corpus signal 28296, max signal 31419, crashes 0, repro 0
2023/03/29 20:47:54 VMs 1, executed 23832, corpus cover 21060, corpus signal 28381, max signal 31785, crashes 0, repro 0
2023/03/29 20:48:04 VMs 1, executed 24427, corpus cover 21285, corpus signal 28699, max signal 31835, crashes 0, repro 0
2023/03/29 20:48:14 VMs 1, executed 25288, corpus cover 21414, corpus signal 28926, max signal 31893, crashes 0, repro 0
2023/03/29 20:48:24 VMs 1, executed 25288, corpus cover 21562, corpus signal 29096, max signal 31893, crashes 0, repro 0
2023/03/29 20:48:34 VMs 1, executed 25865, corpus cover 21615, corpus signal 29173, max signal 32111, crashes 0, repro 0
2023/03/29 20:48:44 VMs 1, executed 26276, corpus cover 21627, corpus signal 29191, max signal 34105, crashes 0, repro 0
2023/03/29 20:48:54 VMs 1, executed 26450, corpus cover 21708, corpus signal 29333, max signal 34307, crashes 0, repro 0
2023/03/29 20:49:04 VMs 1, executed 26580, corpus cover 21760, corpus signal 29414, max signal 34318, crashes 0, repro 0
2023/03/29 20:49:14 VMs 1, executed 27328, corpus cover 23627, corpus signal 31498, max signal 34519, crashes 0, repro 0
2023/03/29 20:49:24 VMs 1, executed 27328, corpus cover 23844, corpus signal 31836, max signal 34519, crashes 0, repro 0
2023/03/29 20:49:34 VMs 1, executed 28163, corpus cover 23938, corpus signal 32013, max signal 35184, crashes 0, repro 0
2023/03/29 20:49:44 VMs 1, executed 28911, corpus cover 24196, corpus signal 32369, max signal 35980, crashes 0, repro 0
2023/03/29 20:49:54 VMs 1, executed 29398, corpus cover 24229, corpus signal 32419, max signal 36873, crashes 0, repro 0
2023/03/29 20:50:04 VMs 1, executed 29747, corpus cover 24316, corpus signal 32559, max signal 36982, crashes 0, repro 0
2023/03/29 20:50:14 VMs 1, executed 29866, corpus cover 24342, corpus signal 32601, max signal 36998, crashes 0, repro 0
2023/03/29 20:50:24 VMs 1, executed 29866, corpus cover 24706, corpus signal 32766, max signal 36998, crashes 0, repro 0
2023/03/29 20:50:34 VMs 1, executed 30044, corpus cover 24974, corpus signal 33172, max signal 37046, crashes 0, repro 0
2023/03/29 20:50:44 VMs 1, executed 30720, corpus cover 25290, corpus signal 33604, max signal 37125, crashes 0, repro 0
2023/03/29 20:50:54 VMs 1, executed 31351, corpus cover 25323, corpus signal 33706, max signal 37268, crashes 0, repro 0
2023/03/29 20:51:04 VMs 1, executed 31645, corpus cover 25448, corpus signal 33899, max signal 37390, crashes 0, repro 0
2023/03/29 20:51:14 VMs 1, executed 32346, corpus cover 25651, corpus signal 34186, max signal 37826, crashes 0, repro 0
2023/03/29 20:51:24 VMs 1, executed 32346, corpus cover 25716, corpus signal 34281, max signal 37826, crashes 0, repro 0
2023/03/29 20:51:34 VMs 1, executed 32811, corpus cover 25794, corpus signal 34383, max signal 38700, crashes 0, repro 0
2023/03/29 20:51:44 VMs 1, executed 33343, corpus cover 25882, corpus signal 34540, max signal 39257, crashes 0, repro 0
2023/03/29 20:51:54 VMs 1, executed 34192, corpus cover 26246, corpus signal 34929, max signal 39297, crashes 0, repro 0
2023/03/29 20:52:04 VMs 1, executed 35210, corpus cover 26635, corpus signal 35528, max signal 39480, crashes 0, repro 0
2023/03/29 20:52:14 VMs 1, executed 36044, corpus cover 26787, corpus signal 35756, max signal 39630, crashes 0, repro 0
2023/03/29 20:52:24 VMs 1, executed 36044, corpus cover 27012, corpus signal 36037, max signal 39630, crashes 0, repro 0
2023/03/29 20:52:34 VMs 1, executed 36649, corpus cover 27068, corpus signal 36109, max signal 39964, crashes 0, repro 0
2023/03/29 20:52:44 VMs 1, executed 36885, corpus cover 27180, corpus signal 36267, max signal 40137, crashes 0, repro 0
2023/03/29 20:52:54 VMs 1, executed 37207, corpus cover 27385, corpus signal 36524, max signal 40217, crashes 0, repro 0
2023/03/29 20:53:04 VMs 1, executed 37843, corpus cover 27453, corpus signal 36629, max signal 40414, crashes 0, repro 0
2023/03/29 20:53:14 VMs 1, executed 38097, corpus cover 27492, corpus signal 36681, max signal 40637, crashes 0, repro 0
2023/03/29 20:53:24 VMs 1, executed 38097, corpus cover 27502, corpus signal 36722, max signal 40637, crashes 0, repro 0
2023/03/29 20:53:34 VMs 1, executed 38258, corpus cover 27560, corpus signal 36806, max signal 40649, crashes 0, repro 0
2023/03/29 20:53:44 VMs 1, executed 38384, corpus cover 27565, corpus signal 36820, max signal 40662, crashes 0, repro 0
2023/03/29 20:53:54 VMs 1, executed 38533, corpus cover 27645, corpus signal 36935, max signal 40671, crashes 0, repro 0
2023/03/29 20:54:04 VMs 1, executed 38855, corpus cover 27652, corpus signal 36945, max signal 40719, crashes 0, repro 0
2023/03/29 20:54:14 VMs 1, executed 39216, corpus cover 27675, corpus signal 36992, max signal 40976, crashes 0, repro 0
2023/03/29 20:54:24 VMs 1, executed 39216, corpus cover 27677, corpus signal 36996, max signal 40976, crashes 0, repro 0
2023/03/29 20:54:34 VMs 1, executed 39456, corpus cover 27691, corpus signal 37051, max signal 41206, crashes 0, repro 0
2023/03/29 20:54:44 VMs 1, executed 39578, corpus cover 27703, corpus signal 37078, max signal 41209, crashes 0, repro 0
2023/03/29 20:54:54 VMs 1, executed 39702, corpus cover 27718, corpus signal 37105, max signal 41215, crashes 0, repro 0
2023/03/29 20:55:04 VMs 1, executed 40047, corpus cover 27835, corpus signal 37289, max signal 41234, crashes 0, repro 0
2023/03/29 20:55:14 VMs 1, executed 40870, corpus cover 28055, corpus signal 37648, max signal 41363, crashes 0, repro 0
2023/03/29 20:55:24 VMs 1, executed 40870, corpus cover 28081, corpus signal 37705, max signal 41363, crashes 0, repro 0
2023/03/29 20:55:34 VMs 1, executed 41430, corpus cover 28259, corpus signal 37953, max signal 42001, crashes 0, repro 0
2023/03/29 20:55:44 VMs 1, executed 41894, corpus cover 28271, corpus signal 37974, max signal 42239, crashes 0, repro 0
2023/03/29 20:55:54 VMs 1, executed 42722, corpus cover 28389, corpus signal 38152, max signal 42307, crashes 0, repro 0
2023/03/29 20:56:04 VMs 1, executed 43023, corpus cover 28430, corpus signal 38225, max signal 42319, crashes 0, repro 0
2023/03/29 20:56:14 VMs 1, executed 43827, corpus cover 28678, corpus signal 38589, max signal 42403, crashes 0, repro 0
2023/03/29 20:56:24 VMs 1, executed 43827, corpus cover 28720, corpus signal 38662, max signal 42403, crashes 0, repro 0
2023/03/29 20:56:34 VMs 1, executed 44388, corpus cover 28733, corpus signal 38685, max signal 43236, crashes 0, repro 0
2023/03/29 20:56:44 VMs 1, executed 44509, corpus cover 28752, corpus signal 38710, max signal 43253, crashes 0, repro 0
2023/03/29 20:56:54 VMs 1, executed 44688, corpus cover 28762, corpus signal 38730, max signal 43272, crashes 0, repro 0
2023/03/29 20:57:04 VMs 1, executed 44817, corpus cover 28786, corpus signal 38759, max signal 43289, crashes 0, repro 0
