2023/03/23 13:07:00 VMs 1, executed 3020, cover 17330, signal 21325/23477, crashes 0, repro 0
2023/03/23 13:07:10 VMs 1, executed 3616, cover 17608, signal 21678/24688, crashes 0, repro 0
2023/03/23 13:07:20 VMs 1, executed 4105, cover 17704, signal 21842/24729, crashes 0, repro 0
2023/03/23 13:07:30 VMs 1, executed 4532, cover 17914, signal 22109/24823, crashes 0, repro 0
2023/03/23 13:07:40 VMs 1, executed 5158, cover 18014, signal 22260/24858, crashes 0, repro 0
2023/03/23 13:07:50 VMs 1, executed 5158, cover 18099, signal 22384/24858, crashes 0, repro 0
2023/03/23 13:08:00 VMs 1, executed 5739, cover 18322, signal 22650/24882, crashes 0, repro 0
2023/03/23 13:08:10 VMs 1, executed 6183, cover 18347, signal 22700/24903, crashes 0, repro 0
2023/03/23 13:08:20 VMs 1, executed 6713, cover 18523, signal 22973/24923, crashes 0, repro 0
2023/03/23 13:08:30 VMs 1, executed 7380, cover 18688, signal 23220/24973, crashes 0, repro 0
2023/03/23 13:08:40 VMs 1, executed 7959, cover 18750, signal 23346/25087, crashes 0, repro 0
2023/03/23 13:08:50 VMs 1, executed 7959, cover 18908, signal 23579/25087, crashes 0, repro 0
2023/03/23 13:09:00 VMs 1, executed 8626, cover 19004, signal 23764/25227, crashes 0, repro 0
2023/03/23 13:09:10 VMs 1, executed 9190, cover 19084, signal 23901/25738, crashes 0, repro 0
2023/03/23 13:09:20 VMs 1, executed 9315, cover 19181, signal 24018/25910, crashes 0, repro 0
2023/03/23 13:09:30 VMs 1, executed 9442, cover 19190, signal 24038/26718, crashes 0, repro 0
2023/03/23 13:09:40 VMs 1, executed 10192, cover 20516, signal 25703/28069, crashes 0, repro 0
2023/03/23 13:09:50 VMs 1, executed 10192, cover 20977, signal 26165/28069, crashes 0, repro 0
2023/03/23 13:10:00 VMs 1, executed 11006, cover 21058, signal 26301/28175, crashes 0, repro 0
