2023/06/12 21:45:09 VMs 1, executed 0, corpus cover 1758, corpus signal 1822, max signal 0, crashes 0, repro 0
2023/06/12 21:45:19 VMs 1, executed 630, corpus cover 6949, corpus signal 9051, max signal 8649, crashes 0, repro 0
2023/06/12 21:45:29 VMs 1, executed 1150, corpus cover 7460, corpus signal 9559, max signal 12285, crashes 0, repro 0
2023/06/12 21:45:39 VMs 1, executed 2078, corpus cover 8831, corpus signal 11482, max signal 13632, crashes 0, repro 0
2023/06/12 21:45:49 VMs 1, executed 2651, corpus cover 9030, corpus signal 11826, max signal 13908, crashes 0, repro 0
2023/06/12 21:45:59 VMs 1, executed 2651, corpus cover 10667, corpus signal 13998, max signal 13908, crashes 0, repro 0
2023/06/12 21:46:09 VMs 1, executed 3826, corpus cover 10990, corpus signal 14467, max signal 14774, crashes 0, repro 0
2023/06/12 21:46:19 VMs 1, executed 4526, corpus cover 11205, corpus signal 14879, max signal 17685, crashes 0, repro 0
2023/06/12 21:46:29 VMs 1, executed 5212, corpus cover 12498, corpus signal 15490, max signal 18951, crashes 0, repro 0
2023/06/12 21:46:39 VMs 1, executed 6411, corpus cover 12687, corpus signal 15828, max signal 19360, crashes 0, repro 0
2023/06/12 21:46:49 VMs 1, executed 7401, corpus cover 13125, corpus signal 16386, max signal 19467, crashes 0, repro 0
2023/06/12 21:46:59 VMs 1, executed 7401, corpus cover 14067, corpus signal 17447, max signal 19467, crashes 0, repro 0
2023/06/12 21:47:09 VMs 1, executed 7569, corpus cover 14211, corpus signal 17628, max signal 19495, crashes 0, repro 0
2023/06/12 21:47:19 VMs 1, executed 8042, corpus cover 14683, corpus signal 18470, max signal 19568, crashes 0, repro 0
2023/06/12 21:47:29 VMs 1, executed 9095, corpus cover 14958, corpus signal 19058, max signal 20231, crashes 0, repro 0
2023/06/12 21:47:39 VMs 1, executed 9426, corpus cover 14967, corpus signal 19072, max signal 20665, crashes 0, repro 0
2023/06/12 21:47:49 VMs 1, executed 9751, corpus cover 15623, corpus signal 19472, max signal 21634, crashes 0, repro 0
2023/06/12 21:47:59 VMs 1, executed 9751, corpus cover 15933, corpus signal 19913, max signal 21634, crashes 0, repro 0
2023/06/12 21:48:09 VMs 1, executed 10335, corpus cover 15978, corpus signal 19981, max signal 21668, crashes 0, repro 0
2023/06/12 21:48:19 VMs 1, executed 10768, corpus cover 16298, corpus signal 20389, max signal 21972, crashes 0, repro 0
2023/06/12 21:48:29 VMs 1, executed 11069, corpus cover 16459, corpus signal 20605, max signal 23819, crashes 0, repro 0
2023/06/12 21:48:39 VMs 1, executed 11541, corpus cover 16587, corpus signal 20799, max signal 24207, crashes 0, repro 0
2023/06/12 21:48:49 VMs 1, executed 12087, corpus cover 17015, corpus signal 21347, max signal 24443, crashes 0, repro 0
2023/06/12 21:48:59 VMs 1, executed 12087, corpus cover 17059, corpus signal 21453, max signal 24443, crashes 0, repro 0
2023/06/12 21:49:09 VMs 1, executed 12489, corpus cover 17134, corpus signal 21565, max signal 24492, crashes 0, repro 0
2023/06/12 21:49:19 VMs 1, executed 12737, corpus cover 17135, corpus signal 21569, max signal 24535, crashes 0, repro 0
2023/06/12 21:49:29 VMs 1, executed 12849, corpus cover 17154, corpus signal 21598, max signal 24546, crashes 0, repro 0
2023/06/12 21:49:39 VMs 1, executed 13140, corpus cover 17298, corpus signal 21789, max signal 24604, crashes 0, repro 0
2023/06/12 21:49:49 VMs 1, executed 14238, corpus cover 17636, corpus signal 22264, max signal 24844, crashes 0, repro 0
2023/06/12 21:49:59 VMs 1, executed 14238, corpus cover 17864, corpus signal 22550, max signal 24844, crashes 0, repro 0
2023/06/12 21:50:09 VMs 1, executed 14647, corpus cover 17961, corpus signal 22675, max signal 25044, crashes 0, repro 0
2023/06/12 21:50:19 VMs 1, executed 14893, corpus cover 18665, corpus signal 23812, max signal 25139, crashes 0, repro 0
2023/06/12 21:50:29 VMs 1, executed 15734, corpus cover 19295, corpus signal 24633, max signal 26332, crashes 0, repro 0
2023/06/12 21:50:39 VMs 1, executed 16733, corpus cover 19457, corpus signal 24877, max signal 26740, crashes 0, repro 0
2023/06/12 21:50:49 VMs 1, executed 16861, corpus cover 19499, corpus signal 24939, max signal 26743, crashes 0, repro 0
2023/06/12 21:50:59 VMs 1, executed 16861, corpus cover 19773, corpus signal 25342, max signal 26743, crashes 0, repro 0
2023/06/12 21:51:09 VMs 1, executed 17759, corpus cover 19952, corpus signal 25615, max signal 27262, crashes 0, repro 0
2023/06/12 21:51:19 VMs 1, executed 18584, corpus cover 20242, corpus signal 26039, max signal 28343, crashes 0, repro 0
2023/06/12 21:51:29 VMs 1, executed 19491, corpus cover 20800, corpus signal 26774, max signal 28602, crashes 0, repro 0
