2023/03/27 10:13:01 VMs 1, executed 0, corpus cover 0, corpus signal 0, max signal 0, crashes 0, repro 0
2023/03/27 10:13:11 VMs 1, executed 20, corpus cover 1987, corpus signal 180, max signal 13768, crashes 0, repro 0
2023/03/27 10:13:21 VMs 1, executed 531, corpus cover 4620, corpus signal 4915, max signal 14284, crashes 0, repro 0
2023/03/27 10:13:31 VMs 1, executed 1148, corpus cover 6840, corpus signal 9150, max signal 16020, crashes 0, repro 0
2023/03/27 10:13:41 VMs 1, executed 2117, corpus cover 9151, corpus signal 10550, max signal 16511, crashes 0, repro 0
2023/03/27 10:13:51 VMs 1, executed 2117, corpus cover 9449, corpus signal 11131, max signal 16511, crashes 0, repro 0
2023/03/27 10:14:01 VMs 1, executed 2727, corpus cover 9502, corpus signal 11228, max signal 16694, crashes 0, repro 0
2023/03/27 10:14:11 VMs 1, executed 2943, corpus cover 9502, corpus signal 11228, max signal 16735, crashes 0, repro 0
2023/03/27 10:14:21 VMs 1, executed 3026, corpus cover 9558, corpus signal 11313, max signal 16778, crashes 0, repro 0
2023/03/27 10:14:31 VMs 1, executed 3161, corpus cover 9570, corpus signal 11340, max signal 16798, crashes 0, repro 0
2023/03/27 10:14:41 VMs 1, executed 3294, corpus cover 9570, corpus signal 11340, max signal 16816, crashes 0, repro 0
2023/03/27 10:14:51 VMs 1, executed 3294, corpus cover 9570, corpus signal 11340, max signal 16816, crashes 0, repro 0
2023/03/27 10:15:01 VMs 1, executed 3420, corpus cover 9578, corpus signal 11354, max signal 16841, crashes 0, repro 0
2023/03/27 10:15:11 VMs 1, executed 3545, corpus cover 9587, corpus signal 11361, max signal 16862, crashes 0, repro 0
2023/03/27 10:15:21 VMs 1, executed 3675, corpus cover 9622, corpus signal 11401, max signal 16872, crashes 0, repro 0
2023/03/27 10:15:31 VMs 1, executed 3804, corpus cover 9626, corpus signal 11413, max signal 16873, crashes 0, repro 0
2023/03/27 10:15:41 VMs 1, executed 3887, corpus cover 9628, corpus signal 11419, max signal 16880, crashes 0, repro 0
2023/03/27 10:15:51 VMs 1, executed 3887, corpus cover 9657, corpus signal 11456, max signal 16880, crashes 0, repro 0
2023/03/27 10:16:01 VMs 1, executed 3965, corpus cover 9659, corpus signal 11463, max signal 16897, crashes 0, repro 0
2023/03/27 10:16:11 VMs 1, executed 4037, corpus cover 9659, corpus signal 11463, max signal 16918, crashes 0, repro 0
2023/03/27 10:16:21 VMs 1, executed 4093, corpus cover 9661, corpus signal 11468, max signal 16929, crashes 0, repro 0
2023/03/27 10:16:31 VMs 1, executed 4197, corpus cover 9732, corpus signal 11562, max signal 17039, crashes 0, repro 0
2023/03/27 10:16:41 VMs 1, executed 4303, corpus cover 9733, corpus signal 11568, max signal 17060, crashes 0, repro 0
2023/03/27 10:16:51 VMs 1, executed 4303, corpus cover 9834, corpus signal 11753, max signal 17060, crashes 0, repro 0
2023/03/27 10:17:01 VMs 1, executed 4672, corpus cover 9953, corpus signal 12039, max signal 17138, crashes 0, repro 0
2023/03/27 10:17:11 VMs 1, executed 5265, corpus cover 10107, corpus signal 12234, max signal 17181, crashes 0, repro 0
2023/03/27 10:17:21 VMs 1, executed 5824, corpus cover 10322, corpus signal 12489, max signal 17391, crashes 0, repro 0
2023/03/27 10:17:31 VMs 1, executed 6277, corpus cover 10453, corpus signal 12674, max signal 17483, crashes 0, repro 0
2023/03/27 10:17:41 VMs 1, executed 6782, corpus cover 10604, corpus signal 12884, max signal 17603, crashes 0, repro 0
2023/03/27 10:17:51 VMs 1, executed 6782, corpus cover 11126, corpus signal 13725, max signal 17603, crashes 0, repro 0
2023/03/27 10:18:01 VMs 1, executed 7330, corpus cover 11226, corpus signal 13857, max signal 17660, crashes 0, repro 0
2023/03/27 10:18:11 VMs 1, executed 7897, corpus cover 11332, corpus signal 14019, max signal 17710, crashes 0, repro 0
2023/03/27 10:18:21 VMs 1, executed 8431, corpus cover 11541, corpus signal 14300, max signal 17893, crashes 0, repro 0
2023/03/27 10:18:31 VMs 1, executed 9164, corpus cover 12102, corpus signal 15045, max signal 18036, crashes 0, repro 0
2023/03/27 10:18:41 VMs 1, executed 9803, corpus cover 12341, corpus signal 15374, max signal 19734, crashes 0, repro 0
2023/03/27 10:18:51 VMs 1, executed 9803, corpus cover 12414, corpus signal 15472, max signal 19734, crashes 0, repro 0
