2023/06/12 16:55:21 VMs 1, executed 0, corpus cover 5589, corpus signal 5429, max signal 0, crashes 0, repro 0
2023/06/12 16:55:31 VMs 1, executed 597, corpus cover 7864, corpus signal 8239, max signal 11138, crashes 0, repro 0
2023/06/12 16:55:41 VMs 1, executed 942, corpus cover 8182, corpus signal 8818, max signal 13136, crashes 0, repro 0
2023/06/12 16:55:51 VMs 1, executed 1356, corpus cover 8676, corpus signal 9548, max signal 13630, crashes 0, repro 0
2023/06/12 16:56:01 VMs 1, executed 2400, corpus cover 9702, corpus signal 11297, max signal 14281, crashes 0, repro 0
2023/06/12 16:56:11 VMs 1, executed 2400, corpus cover 10032, corpus signal 11819, max signal 14281, crashes 0, repro 0
2023/06/12 16:56:21 VMs 1, executed 2990, corpus cover 10306, corpus signal 12846, max signal 14394, crashes 0, repro 0
2023/06/12 16:56:31 VMs 1, executed 4117, corpus cover 10854, corpus signal 14062, max signal 16284, crashes 0, repro 0
2023/06/12 16:56:41 VMs 1, executed 5539, corpus cover 11767, corpus signal 15260, max signal 16569, crashes 0, repro 0
2023/06/12 16:56:51 VMs 1, executed 6041, corpus cover 11922, corpus signal 15523, max signal 17544, crashes 0, repro 0
2023/06/12 16:57:01 VMs 1, executed 6674, corpus cover 12252, corpus signal 15948, max signal 18577, crashes 0, repro 0
2023/06/12 16:57:11 VMs 1, executed 6674, corpus cover 12315, corpus signal 16029, max signal 18577, crashes 0, repro 0
2023/06/12 16:57:21 VMs 1, executed 6805, corpus cover 12315, corpus signal 16032, max signal 18604, crashes 0, repro 0
2023/06/12 16:57:31 VMs 1, executed 7104, corpus cover 13059, corpus signal 17095, max signal 18627, crashes 0, repro 0
2023/06/12 16:57:41 VMs 1, executed 7926, corpus cover 13341, corpus signal 17510, max signal 19604, crashes 0, repro 0
2023/06/12 16:57:51 VMs 1, executed 8043, corpus cover 13384, corpus signal 17575, max signal 19659, crashes 0, repro 0
2023/06/12 16:58:01 VMs 1, executed 8176, corpus cover 13441, corpus signal 17630, max signal 19669, crashes 0, repro 0
