2023/03/28 17:55:22 VMs 1, executed 176926, corpus cover 49265, corpus signal 69195, max signal 77060, crashes 5, repro 0
2023/03/28 17:55:32 VMs 1, executed 177562, corpus cover 49309, corpus signal 69257, max signal 77101, crashes 5, repro 0
2023/03/28 17:55:42 VMs 1, executed 177562, corpus cover 49310, corpus signal 69259, max signal 77101, crashes 5, repro 0
2023/03/28 17:55:52 VMs 1, executed 177944, corpus cover 49371, corpus signal 69360, max signal 77212, crashes 5, repro 0
2023/03/28 17:56:02 VMs 1, executed 178591, corpus cover 49385, corpus signal 69389, max signal 77232, crashes 5, repro 0
2023/03/28 17:56:12 VMs 1, executed 179123, corpus cover 49404, corpus signal 69420, max signal 77248, crashes 5, repro 0
2023/03/28 17:56:22 VMs 1, executed 179473, corpus cover 49441, corpus signal 69468, max signal 77430, crashes 5, repro 0
2023/03/28 17:56:32 VMs 1, executed 179611, corpus cover 49463, corpus signal 69497, max signal 77439, crashes 5, repro 0
2023/03/28 17:56:42 VMs 1, executed 179611, corpus cover 49465, corpus signal 69500, max signal 77439, crashes 5, repro 0
2023/03/28 17:56:52 VMs 1, executed 179737, corpus cover 49532, corpus signal 69593, max signal 77451, crashes 5, repro 0
2023/03/28 17:57:02 VMs 1, executed 180367, corpus cover 49561, corpus signal 69635, max signal 77517, crashes 5, repro 0
2023/03/28 17:57:12 VMs 1, executed 180541, corpus cover 49569, corpus signal 69649, max signal 77518, crashes 5, repro 0
2023/03/28 17:57:22 VMs 1, executed 180749, corpus cover 49569, corpus signal 69649, max signal 77547, crashes 5, repro 0
2023/03/28 17:57:32 VMs 1, executed 180969, corpus cover 49574, corpus signal 69657, max signal 77561, crashes 5, repro 0
2023/03/28 17:57:42 VMs 1, executed 180969, corpus cover 49592, corpus signal 69686, max signal 77561, crashes 5, repro 0
2023/03/28 17:57:52 VMs 1, executed 181278, corpus cover 49597, corpus signal 69699, max signal 77675, crashes 5, repro 0
2023/03/28 17:58:02 VMs 1, executed 181763, corpus cover 49630, corpus signal 69742, max signal 77734, crashes 5, repro 0
2023/03/28 17:58:12 VMs 1, executed 182141, corpus cover 49650, corpus signal 69782, max signal 77775, crashes 5, repro 0
2023/03/28 17:58:22 VMs 1, executed 182718, corpus cover 49744, corpus signal 69912, max signal 77951, crashes 5, repro 0
2023/03/28 17:58:32 VMs 1, executed 183176, corpus cover 49760, corpus signal 69938, max signal 78025, crashes 5, repro 0
2023/03/28 17:58:42 VMs 1, executed 183176, corpus cover 49763, corpus signal 69946, max signal 78025, crashes 5, repro 0
2023/03/28 17:58:52 VMs 1, executed 183583, corpus cover 49914, corpus signal 70165, max signal 78229, crashes 5, repro 0
2023/03/28 17:59:02 VMs 1, executed 184208, corpus cover 50205, corpus signal 70609, max signal 78522, crashes 5, repro 0
2023/03/28 17:59:12 VMs 1, executed 184728, corpus cover 50405, corpus signal 70911, max signal 79034, crashes 5, repro 0
2023/03/28 17:59:22 VMs 1, executed 185326, corpus cover 50733, corpus signal 71349, max signal 79616, crashes 5, repro 0
2023/03/28 17:59:32 VMs 1, executed 185973, corpus cover 50913, corpus signal 71640, max signal 79828, crashes 5, repro 0
2023/03/28 17:59:42 VMs 1, executed 185973, corpus cover 50997, corpus signal 71792, max signal 79828, crashes 5, repro 0
2023/03/28 17:59:52 VMs 1, executed 186557, corpus cover 51077, corpus signal 71931, max signal 79874, crashes 5, repro 0
2023/03/28 18:00:02 VMs 1, executed 187383, corpus cover 51084, corpus signal 71949, max signal 80001, crashes 5, repro 0
2023/03/28 18:00:12 VMs 1, executed 187886, corpus cover 51122, corpus signal 72025, max signal 80076, crashes 5, repro 0
2023/03/28 18:00:22 VMs 1, executed 188328, corpus cover 51124, corpus signal 72033, max signal 80085, crashes 5, repro 0
2023/03/28 18:00:32 VMs 1, executed 188792, corpus cover 51128, corpus signal 72042, max signal 80140, crashes 5, repro 0
2023/03/28 18:00:42 VMs 1, executed 188792, corpus cover 51156, corpus signal 72085, max signal 80140, crashes 5, repro 0
2023/03/28 18:00:52 VMs 1, executed 189346, corpus cover 51209, corpus signal 72126, max signal 80195, crashes 5, repro 0
2023/03/28 18:01:02 VMs 1, executed 189554, corpus cover 51209, corpus signal 72126, max signal 80202, crashes 5, repro 0
2023/03/28 18:01:12 VMs 1, executed 189700, corpus cover 51209, corpus signal 72127, max signal 80211, crashes 5, repro 0
2023/03/28 18:01:22 VMs 1, executed 189943, corpus cover 51219, corpus signal 72144, max signal 80243, crashes 5, repro 0
2023/03/28 18:01:32 VMs 1, executed 190126, corpus cover 51222, corpus signal 72151, max signal 80248, crashes 5, repro 0
2023/03/28 18:01:42 VMs 1, executed 190126, corpus cover 51232, corpus signal 72170, max signal 80248, crashes 5, repro 0
2023/03/28 18:01:52 VMs 1, executed 190257, corpus cover 51232, corpus signal 72171, max signal 80251, crashes 5, repro 0
2023/03/28 18:02:02 VMs 1, executed 190388, corpus cover 51234, corpus signal 72177, max signal 80251, crashes 5, repro 0
2023/03/28 18:02:12 VMs 1, executed 190520, corpus cover 51234, corpus signal 72177, max signal 80271, crashes 5, repro 0
2023/03/28 18:02:22 VMs 1, executed 190638, corpus cover 51234, corpus signal 72177, max signal 80283, crashes 5, repro 0
2023/03/28 18:02:32 VMs 1, executed 190674, corpus cover 51234, corpus signal 72177, max signal 80306, crashes 5, repro 0
2023/03/28 18:02:42 VMs 1, executed 190674, corpus cover 51234, corpus signal 72177, max signal 80306, crashes 5, repro 0
2023/03/28 18:02:50 vm-0: crash: lost connection to test machine
2023/03/28 18:02:52 VMs 0, executed 190674, corpus cover 51234, corpus signal 72177, max signal 80306, crashes 6, repro 0
2023/03/28 18:03:02 VMs 1, executed 190674, corpus cover 51234, corpus signal 72177, max signal 80306, crashes 6, repro 0
2023/03/28 18:03:12 VMs 1, executed 190674, corpus cover 51234, corpus signal 72177, max signal 80306, crashes 6, repro 0
2023/03/28 18:03:22 VMs 1, executed 190777, corpus cover 51247, corpus signal 72195, max signal 80329, crashes 6, repro 0
2023/03/28 18:03:32 VMs 1, executed 191194, corpus cover 51247, corpus signal 72198, max signal 80340, crashes 6, repro 0
2023/03/28 18:03:42 VMs 1, executed 191362, corpus cover 51247, corpus signal 72198, max signal 80356, crashes 6, repro 0
2023/03/28 18:03:52 VMs 1, executed 191362, corpus cover 51265, corpus signal 72221, max signal 80356, crashes 6, repro 0
2023/03/28 18:04:02 VMs 1, executed 191596, corpus cover 51265, corpus signal 72222, max signal 80382, crashes 6, repro 0
2023/03/28 18:04:12 VMs 1, executed 191769, corpus cover 51267, corpus signal 72233, max signal 80386, crashes 6, repro 0
2023/03/28 18:04:22 VMs 1, executed 192137, corpus cover 51280, corpus signal 72262, max signal 80546, crashes 6, repro 0
2023/03/28 18:04:32 VMs 1, executed 192598, corpus cover 51363, corpus signal 72414, max signal 80566, crashes 6, repro 0
2023/03/28 18:04:42 VMs 1, executed 193065, corpus cover 51375, corpus signal 72446, max signal 80606, crashes 6, repro 0
2023/03/28 18:04:52 VMs 1, executed 193065, corpus cover 51381, corpus signal 72458, max signal 80606, crashes 6, repro 0
2023/03/28 18:05:02 VMs 1, executed 193281, corpus cover 51402, corpus signal 72502, max signal 80681, crashes 6, repro 0
2023/03/28 18:05:12 VMs 1, executed 193680, corpus cover 51418, corpus signal 72539, max signal 80713, crashes 6, repro 0
2023/03/28 18:05:22 VMs 1, executed 193942, corpus cover 51418, corpus signal 72539, max signal 80834, crashes 6, repro 0
2023/03/28 18:05:32 VMs 1, executed 194253, corpus cover 51448, corpus signal 72599, max signal 80877, crashes 6, repro 0
2023/03/28 18:05:42 VMs 1, executed 194782, corpus cover 51515, corpus signal 72713, max signal 80920, crashes 6, repro 0
2023/03/28 18:05:52 VMs 1, executed 194782, corpus cover 51540, corpus signal 72741, max signal 80920, crashes 6, repro 0
2023/03/28 18:06:02 VMs 1, executed 194944, corpus cover 51549, corpus signal 72791, max signal 80952, crashes 6, repro 0
2023/03/28 18:06:12 VMs 1, executed 195499, corpus cover 51550, corpus signal 72815, max signal 81043, crashes 6, repro 0
2023/03/28 18:06:22 VMs 1, executed 196179, corpus cover 51558, corpus signal 72903, max signal 81084, crashes 6, repro 0
2023/03/28 18:06:32 VMs 1, executed 196645, corpus cover 51559, corpus signal 72925, max signal 81123, crashes 6, repro 0
2023/03/28 18:06:42 VMs 1, executed 197067, corpus cover 51561, corpus signal 72942, max signal 81162, crashes 6, repro 0
2023/03/28 18:06:52 VMs 1, executed 197067, corpus cover 51570, corpus signal 72958, max signal 81162, crashes 6, repro 0
2023/03/28 18:07:02 VMs 1, executed 197375, corpus cover 51578, corpus signal 72978, max signal 81173, crashes 6, repro 0
2023/03/28 18:07:12 VMs 1, executed 197762, corpus cover 51580, corpus signal 72984, max signal 81188, crashes 6, repro 0
2023/03/28 18:07:22 VMs 1, executed 198063, corpus cover 51580, corpus signal 72984, max signal 81238, crashes 6, repro 0
2023/03/28 18:07:32 VMs 1, executed 198460, corpus cover 51582, corpus signal 72992, max signal 81258, crashes 6, repro 0
2023/03/28 18:07:42 VMs 1, executed 198748, corpus cover 51614, corpus signal 73050, max signal 81273, crashes 6, repro 0
2023/03/28 18:07:52 VMs 1, executed 198748, corpus cover 51617, corpus signal 73063, max signal 81273, crashes 6, repro 0
2023/03/28 18:08:02 VMs 1, executed 199080, corpus cover 51617, corpus signal 73067, max signal 81297, crashes 6, repro 0
2023/03/28 18:08:12 VMs 1, executed 199197, corpus cover 51617, corpus signal 73070, max signal 81298, crashes 6, repro 0
2023/03/28 18:08:22 VMs 1, executed 199332, corpus cover 51622, corpus signal 73082, max signal 81318, crashes 6, repro 0
2023/03/28 18:08:32 VMs 1, executed 199676, corpus cover 51630, corpus signal 73104, max signal 81330, crashes 6, repro 0
2023/03/28 18:08:42 VMs 1, executed 200125, corpus cover 51632, corpus signal 73113, max signal 81346, crashes 6, repro 0
2023/03/28 18:08:52 VMs 1, executed 200125, corpus cover 51651, corpus signal 73151, max signal 81346, crashes 6, repro 0
2023/03/28 18:09:02 VMs 1, executed 200602, corpus cover 51682, corpus signal 73202, max signal 81381, crashes 6, repro 0
2023/03/28 18:09:12 VMs 1, executed 201042, corpus cover 51698, corpus signal 73228, max signal 81463, crashes 6, repro 0
2023/03/28 18:09:22 VMs 1, executed 201367, corpus cover 51720, corpus signal 73266, max signal 81586, crashes 6, repro 0
2023/03/28 18:09:32 VMs 1, executed 201714, corpus cover 51904, corpus signal 73498, max signal 81814, crashes 6, repro 0
2023/03/28 18:09:42 VMs 1, executed 202007, corpus cover 51990, corpus signal 73633, max signal 81877, crashes 6, repro 0
2023/03/28 18:09:52 VMs 1, executed 202007, corpus cover 52055, corpus signal 73721, max signal 81877, crashes 6, repro 0
2023/03/28 18:10:02 VMs 1, executed 202374, corpus cover 52230, corpus signal 73979, max signal 82161, crashes 6, repro 0
2023/03/28 18:10:12 VMs 1, executed 202909, corpus cover 52230, corpus signal 73979, max signal 82224, crashes 6, repro 0
2023/03/28 18:10:22 VMs 1, executed 203270, corpus cover 52289, corpus signal 74069, max signal 82273, crashes 6, repro 0
2023/03/28 18:10:32 VMs 1, executed 203661, corpus cover 52292, corpus signal 74077, max signal 82324, crashes 6, repro 0
2023/03/28 18:10:42 VMs 1, executed 204116, corpus cover 52293, corpus signal 74083, max signal 82330, crashes 6, repro 0
2023/03/28 18:10:52 VMs 1, executed 204116, corpus cover 52294, corpus signal 74086, max signal 82330, crashes 6, repro 0
2023/03/28 18:11:02 VMs 1, executed 204337, corpus cover 52294, corpus signal 74087, max signal 82338, crashes 6, repro 0
2023/03/28 18:11:12 VMs 1, executed 204556, corpus cover 52294, corpus signal 74087, max signal 82339, crashes 6, repro 0
2023/03/28 18:11:22 VMs 1, executed 204807, corpus cover 52329, corpus signal 74146, max signal 82395, crashes 6, repro 0
2023/03/28 18:11:32 VMs 1, executed 205213, corpus cover 52330, corpus signal 74148, max signal 82446, crashes 6, repro 0
2023/03/28 18:11:42 VMs 1, executed 205601, corpus cover 52462, corpus signal 74327, max signal 82585, crashes 6, repro 0
2023/03/28 18:11:52 VMs 1, executed 205601, corpus cover 52466, corpus signal 74334, max signal 82585, crashes 6, repro 0
2023/03/28 18:12:02 VMs 1, executed 206031, corpus cover 52467, corpus signal 74337, max signal 82613, crashes 6, repro 0
2023/03/28 18:12:12 VMs 1, executed 206240, corpus cover 52469, corpus signal 74344, max signal 82618, crashes 6, repro 0
2023/03/28 18:12:22 VMs 1, executed 206416, corpus cover 52532, corpus signal 74419, max signal 82622, crashes 6, repro 0
2023/03/28 18:12:32 VMs 1, executed 206573, corpus cover 52543, corpus signal 74437, max signal 82659, crashes 6, repro 0
2023/03/28 18:12:42 VMs 1, executed 206710, corpus cover 52548, corpus signal 74443, max signal 82705, crashes 6, repro 0
2023/03/28 18:12:52 VMs 1, executed 206710, corpus cover 52555, corpus signal 74457, max signal 82705, crashes 6, repro 0
2023/03/28 18:13:02 VMs 1, executed 206845, corpus cover 52555, corpus signal 74466, max signal 82721, crashes 6, repro 0
2023/03/28 18:13:12 VMs 1, executed 206987, corpus cover 52568, corpus signal 74489, max signal 82725, crashes 6, repro 0
2023/03/28 18:13:22 VMs 1, executed 207129, corpus cover 52568, corpus signal 74489, max signal 82728, crashes 6, repro 0
2023/03/28 18:13:32 VMs 1, executed 207367, corpus cover 52568, corpus signal 74490, max signal 82735, crashes 6, repro 0
2023/03/28 18:13:42 VMs 1, executed 207638, corpus cover 52573, corpus signal 74500, max signal 82775, crashes 6, repro 0
2023/03/28 18:13:52 VMs 1, executed 207638, corpus cover 52574, corpus signal 74502, max signal 82775, crashes 6, repro 0
2023/03/28 18:14:02 VMs 1, executed 207979, corpus cover 52637, corpus signal 74591, max signal 82840, crashes 6, repro 0
2023/03/28 18:14:12 VMs 1, executed 208470, corpus cover 52637, corpus signal 74591, max signal 82866, crashes 6, repro 0
2023/03/28 18:14:22 VMs 1, executed 208921, corpus cover 52659, corpus signal 74626, max signal 82894, crashes 6, repro 0
2023/03/28 18:14:32 VMs 1, executed 209236, corpus cover 52659, corpus signal 74626, max signal 82957, crashes 6, repro 0
2023/03/28 18:14:42 VMs 1, executed 209409, corpus cover 52688, corpus signal 74668, max signal 82979, crashes 6, repro 0
2023/03/28 18:14:52 VMs 1, executed 209409, corpus cover 52708, corpus signal 74702, max signal 82979, crashes 6, repro 0
2023/03/28 18:15:02 VMs 1, executed 209612, corpus cover 52708, corpus signal 74702, max signal 82982, crashes 6, repro 0
2023/03/28 18:15:12 VMs 1, executed 209612, corpus cover 52708, corpus signal 74702, max signal 82982, crashes 6, repro 0
2023/03/28 18:15:22 VMs 1, executed 209612, corpus cover 52708, corpus signal 74702, max signal 82982, crashes 6, repro 0
2023/03/28 18:15:32 VMs 1, executed 209612, corpus cover 52708, corpus signal 74702, max signal 82982, crashes 6, repro 0
2023/03/28 18:15:42 VMs 1, executed 209612, corpus cover 52708, corpus signal 74702, max signal 82982, crashes 6, repro 0
2023/03/28 18:15:52 VMs 1, executed 209612, corpus cover 52708, corpus signal 74702, max signal 82982, crashes 6, repro 0
2023/03/28 18:16:02 VMs 1, executed 209612, corpus cover 52708, corpus signal 74702, max signal 82982, crashes 6, repro 0
2023/03/28 18:16:12 VMs 1, executed 209612, corpus cover 52708, corpus signal 74702, max signal 82982, crashes 6, repro 0
2023/03/28 18:16:22 VMs 1, executed 209612, corpus cover 52708, corpus signal 74702, max signal 82982, crashes 6, repro 0
2023/03/28 18:16:32 VMs 1, executed 209612, corpus cover 52708, corpus signal 74702, max signal 82982, crashes 6, repro 0
2023/03/28 18:16:42 VMs 1, executed 209612, corpus cover 52708, corpus signal 74702, max signal 82982, crashes 6, repro 0
2023/03/28 18:16:52 VMs 1, executed 209612, corpus cover 52708, corpus signal 74702, max signal 82982, crashes 6, repro 0
2023/03/28 18:17:02 VMs 1, executed 209612, corpus cover 52708, corpus signal 74702, max signal 82982, crashes 6, repro 0
2023/03/28 18:17:12 VMs 1, executed 209612, corpus cover 52708, corpus signal 74702, max signal 82982, crashes 6, repro 0
2023/03/28 18:17:22 VMs 1, executed 209612, corpus cover 52708, corpus signal 74702, max signal 82982, crashes 6, repro 0
2023/03/28 18:17:32 VMs 1, executed 209612, corpus cover 52708, corpus signal 74702, max signal 82982, crashes 6, repro 0
2023/03/28 18:17:42 VMs 1, executed 209612, corpus cover 52708, corpus signal 74702, max signal 82982, crashes 6, repro 0
2023/03/28 18:17:52 VMs 1, executed 209612, corpus cover 52708, corpus signal 74702, max signal 82982, crashes 6, repro 0
2023/03/28 18:18:02 VMs 1, executed 209612, corpus cover 52708, corpus signal 74702, max signal 82982, crashes 6, repro 0
2023/03/28 18:18:12 VMs 1, executed 209612, corpus cover 52708, corpus signal 74702, max signal 82982, crashes 6, repro 0
2023/03/28 18:18:22 VMs 1, executed 209612, corpus cover 52708, corpus signal 74702, max signal 82982, crashes 6, repro 0
2023/03/28 18:18:32 VMs 1, executed 209612, corpus cover 52708, corpus signal 74702, max signal 82982, crashes 6, repro 0
2023/03/28 18:18:42 VMs 1, executed 209612, corpus cover 52708, corpus signal 74702, max signal 82982, crashes 6, repro 0
2023/03/28 18:18:52 VMs 1, executed 209612, corpus cover 52708, corpus signal 74702, max signal 82982, crashes 6, repro 0
2023/03/28 18:19:02 VMs 1, executed 209612, corpus cover 52708, corpus signal 74702, max signal 82982, crashes 6, repro 0
2023/03/28 18:19:12 VMs 1, executed 209612, corpus cover 52708, corpus signal 74702, max signal 82982, crashes 6, repro 0
2023/03/28 18:19:22 VMs 1, executed 209612, corpus cover 52708, corpus signal 74702, max signal 82982, crashes 6, repro 0
2023/03/28 18:19:32 VMs 1, executed 209612, corpus cover 52708, corpus signal 74702, max signal 82982, crashes 6, repro 0
2023/03/28 18:19:42 VMs 1, executed 209612, corpus cover 52708, corpus signal 74702, max signal 82982, crashes 6, repro 0
2023/03/28 18:19:50 vm-0: crash: no output from test machine
2023/03/28 18:19:52 VMs 0, executed 209612, corpus cover 52708, corpus signal 74702, max signal 82982, crashes 7, repro 0
2023/03/28 18:20:02 VMs 1, executed 209612, corpus cover 52708, corpus signal 74702, max signal 82982, crashes 7, repro 0
2023/03/28 18:20:12 VMs 1, executed 209612, corpus cover 52708, corpus signal 74702, max signal 82982, crashes 7, repro 0
2023/03/28 18:20:22 VMs 1, executed 209623, corpus cover 52718, corpus signal 74719, max signal 82996, crashes 7, repro 0
2023/03/28 18:20:32 VMs 1, executed 210109, corpus cover 52788, corpus signal 74812, max signal 83037, crashes 7, repro 0
2023/03/28 18:20:42 VMs 1, executed 210575, corpus cover 52828, corpus signal 74894, max signal 83128, crashes 7, repro 0
2023/03/28 18:20:52 VMs 1, executed 210575, corpus cover 53222, corpus signal 75414, max signal 83128, crashes 7, repro 0
2023/03/28 18:21:02 VMs 1, executed 211263, corpus cover 53266, corpus signal 75481, max signal 83666, crashes 7, repro 0
2023/03/28 18:21:12 VMs 1, executed 211857, corpus cover 53309, corpus signal 75547, max signal 83752, crashes 7, repro 0
2023/03/28 18:21:22 VMs 1, executed 212619, corpus cover 53400, corpus signal 75689, max signal 83859, crashes 7, repro 0
2023/03/28 18:21:32 VMs 1, executed 213209, corpus cover 53436, corpus signal 75741, max signal 83987, crashes 7, repro 0
2023/03/28 18:21:42 VMs 1, executed 213673, corpus cover 53479, corpus signal 75791, max signal 84060, crashes 7, repro 0
2023/03/28 18:21:52 VMs 1, executed 213673, corpus cover 53501, corpus signal 75806, max signal 84060, crashes 7, repro 0
2023/03/28 18:22:02 VMs 1, executed 214129, corpus cover 53516, corpus signal 75831, max signal 84067, crashes 7, repro 0
2023/03/28 18:22:12 VMs 1, executed 214557, corpus cover 53556, corpus signal 75896, max signal 84187, crashes 7, repro 0
2023/03/28 18:22:22 VMs 1, executed 214959, corpus cover 53567, corpus signal 75916, max signal 84219, crashes 7, repro 0
2023/03/28 18:22:32 VMs 1, executed 215396, corpus cover 53567, corpus signal 75918, max signal 84243, crashes 7, repro 0
2023/03/28 18:22:42 VMs 1, executed 215931, corpus cover 53597, corpus signal 75973, max signal 84296, crashes 7, repro 0
2023/03/28 18:22:52 VMs 1, executed 215931, corpus cover 53609, corpus signal 75995, max signal 84296, crashes 7, repro 0
2023/03/28 18:23:02 VMs 1, executed 216548, corpus cover 53633, corpus signal 76034, max signal 84328, crashes 7, repro 0
2023/03/28 18:23:12 VMs 1, executed 217096, corpus cover 53636, corpus signal 76043, max signal 84363, crashes 7, repro 0
2023/03/28 18:23:22 VMs 1, executed 217510, corpus cover 53636, corpus signal 76043, max signal 84373, crashes 7, repro 0
2023/03/28 18:23:32 VMs 1, executed 217980, corpus cover 53638, corpus signal 76051, max signal 84375, crashes 7, repro 0
2023/03/28 18:23:42 VMs 1, executed 218644, corpus cover 53916, corpus signal 76397, max signal 84711, crashes 7, repro 0
2023/03/28 18:23:52 VMs 1, executed 218644, corpus cover 54002, corpus signal 76548, max signal 84711, crashes 7, repro 0
2023/03/28 18:24:02 VMs 1, executed 219122, corpus cover 54013, corpus signal 76569, max signal 84737, crashes 7, repro 0
2023/03/28 18:24:12 VMs 1, executed 219467, corpus cover 54013, corpus signal 76569, max signal 84742, crashes 7, repro 0
2023/03/28 18:24:22 VMs 1, executed 219541, corpus cover 54013, corpus signal 76569, max signal 84745, crashes 7, repro 0
2023/03/28 18:24:32 VMs 1, executed 219548, corpus cover 54013, corpus signal 76569, max signal 84745, crashes 7, repro 0
