2023/06/07 00:15:54 VMs 1, executed 17102, corpus cover 20352, corpus signal 26721, max signal 28367, crashes 0, repro 0
2023/06/07 00:16:04 VMs 1, executed 17420, corpus cover 20609, corpus signal 27078, max signal 28671, crashes 0, repro 0
2023/06/07 00:16:14 VMs 1, executed 18138, corpus cover 20759, corpus signal 27179, max signal 29030, crashes 0, repro 0
2023/06/07 00:16:24 VMs 1, executed 18258, corpus cover 20760, corpus signal 27182, max signal 29086, crashes 0, repro 0
2023/06/07 00:16:34 VMs 1, executed 18369, corpus cover 20803, corpus signal 27252, max signal 29101, crashes 0, repro 0
2023/06/07 00:16:44 VMs 1, executed 18513, corpus cover 20904, corpus signal 27391, max signal 29117, crashes 0, repro 0
2023/06/07 00:16:54 VMs 1, executed 18513, corpus cover 21067, corpus signal 27607, max signal 29117, crashes 0, repro 0
2023/06/07 00:17:04 VMs 1, executed 19090, corpus cover 21458, corpus signal 28193, max signal 30132, crashes 0, repro 0
2023/06/07 00:17:14 VMs 1, executed 20018, corpus cover 21657, corpus signal 28511, max signal 30288, crashes 0, repro 0
2023/06/07 00:17:24 VMs 1, executed 20826, corpus cover 21672, corpus signal 28533, max signal 30946, crashes 0, repro 0
2023/06/07 00:17:34 VMs 1, executed 21065, corpus cover 21959, corpus signal 28889, max signal 31650, crashes 0, repro 0
2023/06/07 00:17:44 VMs 1, executed 21946, corpus cover 22364, corpus signal 29310, max signal 31732, crashes 0, repro 0
2023/06/07 00:17:54 VMs 1, executed 21946, corpus cover 22587, corpus signal 29639, max signal 31732, crashes 0, repro 0
2023/06/07 00:18:04 VMs 1, executed 22886, corpus cover 22646, corpus signal 29721, max signal 31835, crashes 0, repro 0
2023/06/07 00:18:14 VMs 1, executed 23366, corpus cover 22703, corpus signal 29807, max signal 32499, crashes 0, repro 0
2023/06/07 00:18:24 VMs 1, executed 23681, corpus cover 22889, corpus signal 30030, max signal 32696, crashes 0, repro 0
2023/06/07 00:18:34 VMs 1, executed 23811, corpus cover 23052, corpus signal 30234, max signal 32856, crashes 0, repro 0
2023/06/07 00:18:44 VMs 1, executed 24036, corpus cover 23121, corpus signal 30345, max signal 32880, crashes 0, repro 0
2023/06/07 00:18:54 VMs 1, executed 24036, corpus cover 23381, corpus signal 30734, max signal 32880, crashes 0, repro 0
2023/06/07 00:19:04 VMs 1, executed 24987, corpus cover 23543, corpus signal 30965, max signal 33046, crashes 0, repro 0
2023/06/07 00:19:14 VMs 1, executed 25581, corpus cover 23562, corpus signal 30999, max signal 33350, crashes 0, repro 0
2023/06/07 00:19:24 VMs 1, executed 25784, corpus cover 23603, corpus signal 31077, max signal 33393, crashes 0, repro 0
2023/06/07 00:19:34 VMs 1, executed 26472, corpus cover 23707, corpus signal 31243, max signal 33737, crashes 0, repro 0
2023/06/07 00:19:44 VMs 1, executed 27195, corpus cover 24085, corpus signal 31451, max signal 34099, crashes 0, repro 0
2023/06/07 00:19:54 VMs 1, executed 27350, corpus cover 24086, corpus signal 31457, max signal 34166, crashes 0, repro 0
2023/06/07 00:20:04 VMs 1, executed 27350, corpus cover 24167, corpus signal 31582, max signal 34166, crashes 0, repro 0
2023/06/07 00:20:14 VMs 1, executed 27880, corpus cover 24201, corpus signal 31637, max signal 34296, crashes 0, repro 0
2023/06/07 00:20:24 VMs 1, executed 28192, corpus cover 24209, corpus signal 31650, max signal 34316, crashes 0, repro 0
2023/06/07 00:20:34 VMs 1, executed 28316, corpus cover 24304, corpus signal 31816, max signal 34414, crashes 0, repro 0
2023/06/07 00:20:44 VMs 1, executed 28880, corpus cover 24502, corpus signal 32130, max signal 34974, crashes 0, repro 0
2023/06/07 00:20:54 VMs 1, executed 28880, corpus cover 24578, corpus signal 32256, max signal 34974, crashes 0, repro 0
2023/06/07 00:21:04 VMs 1, executed 29364, corpus cover 25129, corpus signal 33152, max signal 35904, crashes 0, repro 0
2023/06/07 00:21:14 VMs 1, executed 30396, corpus cover 25160, corpus signal 33201, max signal 36380, crashes 0, repro 0
2023/06/07 00:21:24 VMs 1, executed 30585, corpus cover 25278, corpus signal 33458, max signal 36389, crashes 0, repro 0
2023/06/07 00:21:34 VMs 1, executed 31364, corpus cover 25422, corpus signal 33688, max signal 36427, crashes 0, repro 0
2023/06/07 00:21:44 VMs 1, executed 31660, corpus cover 25428, corpus signal 33699, max signal 36444, crashes 0, repro 0
2023/06/07 00:21:54 VMs 1, executed 31660, corpus cover 25629, corpus signal 33975, max signal 36444, crashes 0, repro 0
2023/06/07 00:22:04 VMs 1, executed 32227, corpus cover 25639, corpus signal 33997, max signal 36761, crashes 0, repro 0
2023/06/07 00:22:14 VMs 1, executed 32478, corpus cover 25683, corpus signal 34066, max signal 37544, crashes 0, repro 0
2023/06/07 00:22:24 VMs 1, executed 32795, corpus cover 25929, corpus signal 34401, max signal 37582, crashes 0, repro 0
2023/06/07 00:22:34 VMs 1, executed 33525, corpus cover 26061, corpus signal 34588, max signal 37896, crashes 0, repro 0
2023/06/07 00:22:44 VMs 1, executed 34126, corpus cover 26255, corpus signal 34830, max signal 38302, crashes 0, repro 0
2023/06/07 00:22:54 VMs 1, executed 34126, corpus cover 26334, corpus signal 34991, max signal 38302, crashes 0, repro 0
2023/06/07 00:23:04 VMs 1, executed 35601, corpus cover 26336, corpus signal 34996, max signal 38368, crashes 0, repro 0
2023/06/07 00:23:14 VMs 1, executed 35726, corpus cover 26405, corpus signal 35093, max signal 38381, crashes 0, repro 0
2023/06/07 00:23:24 VMs 1, executed 36069, corpus cover 26419, corpus signal 35119, max signal 38411, crashes 0, repro 0
2023/06/07 00:23:34 VMs 1, executed 36201, corpus cover 26423, corpus signal 35133, max signal 38411, crashes 0, repro 0
2023/06/07 00:23:44 VMs 1, executed 36335, corpus cover 26442, corpus signal 35165, max signal 38469, crashes 0, repro 0
2023/06/07 00:23:54 VMs 1, executed 36335, corpus cover 26545, corpus signal 35320, max signal 38469, crashes 0, repro 0
2023/06/07 00:24:04 VMs 1, executed 36937, corpus cover 26599, corpus signal 35414, max signal 38747, crashes 0, repro 0
2023/06/07 00:24:14 VMs 1, executed 37430, corpus cover 26674, corpus signal 35527, max signal 39243, crashes 0, repro 0
2023/06/07 00:24:24 VMs 1, executed 38067, corpus cover 26864, corpus signal 35818, max signal 39585, crashes 0, repro 0
2023/06/07 00:24:34 VMs 1, executed 38656, corpus cover 26906, corpus signal 35873, max signal 39665, crashes 0, repro 0
2023/06/07 00:24:44 VMs 1, executed 39229, corpus cover 27236, corpus signal 36304, max signal 39807, crashes 0, repro 0
2023/06/07 00:24:54 VMs 1, executed 39229, corpus cover 27421, corpus signal 36551, max signal 39807, crashes 0, repro 0
2023/06/07 00:25:04 VMs 1, executed 39949, corpus cover 27532, corpus signal 36756, max signal 41542, crashes 0, repro 0
2023/06/07 00:25:14 VMs 1, executed 40509, corpus cover 27566, corpus signal 36805, max signal 41834, crashes 0, repro 0
2023/06/07 00:25:24 VMs 1, executed 40653, corpus cover 27706, corpus signal 37057, max signal 41870, crashes 0, repro 0
2023/06/07 00:25:34 VMs 1, executed 41613, corpus cover 28696, corpus signal 38440, max signal 42107, crashes 0, repro 0
2023/06/07 00:25:44 VMs 1, executed 42125, corpus cover 28717, corpus signal 38535, max signal 42642, crashes 0, repro 0
2023/06/07 00:25:54 VMs 1, executed 42125, corpus cover 28893, corpus signal 38751, max signal 42642, crashes 0, repro 0
2023/06/07 00:26:04 VMs 1, executed 42432, corpus cover 28911, corpus signal 38776, max signal 43083, crashes 0, repro 0
2023/06/07 00:26:14 VMs 1, executed 42668, corpus cover 29657, corpus signal 39488, max signal 43416, crashes 0, repro 0
2023/06/07 00:26:24 VMs 1, executed 43453, corpus cover 29800, corpus signal 39704, max signal 43469, crashes 0, repro 0
2023/06/07 00:26:34 VMs 1, executed 43643, corpus cover 29834, corpus signal 39857, max signal 43476, crashes 0, repro 0
2023/06/07 00:26:44 VMs 1, executed 44356, corpus cover 29885, corpus signal 39953, max signal 44782, crashes 0, repro 0
2023/06/07 00:26:54 VMs 1, executed 44726, corpus cover 29888, corpus signal 39959, max signal 45472, crashes 0, repro 0
2023/06/07 00:27:04 VMs 1, executed 44726, corpus cover 29931, corpus signal 40007, max signal 45472, crashes 0, repro 0
2023/06/07 00:27:14 VMs 1, executed 45017, corpus cover 30056, corpus signal 40161, max signal 45488, crashes 0, repro 0
2023/06/07 00:27:24 VMs 1, executed 45332, corpus cover 30089, corpus signal 40235, max signal 45516, crashes 0, repro 0
2023/06/07 00:27:34 VMs 1, executed 45518, corpus cover 30145, corpus signal 40319, max signal 45543, crashes 0, repro 0
2023/06/07 00:27:44 VMs 1, executed 45857, corpus cover 30272, corpus signal 40505, max signal 45589, crashes 0, repro 0
2023/06/07 00:27:54 VMs 1, executed 45857, corpus cover 31361, corpus signal 41802, max signal 45589, crashes 0, repro 0
2023/06/07 00:28:04 VMs 1, executed 46186, corpus cover 31569, corpus signal 42070, max signal 45642, crashes 0, repro 0
2023/06/07 00:28:14 VMs 1, executed 46882, corpus cover 31626, corpus signal 42154, max signal 46018, crashes 0, repro 0
2023/06/07 00:28:24 VMs 1, executed 47531, corpus cover 31674, corpus signal 42241, max signal 46060, crashes 0, repro 0
