2023/06/12 13:41:40 VMs 1, executed 0, corpus cover 3908, corpus signal 4367, max signal 0, crashes 0, repro 0
2023/06/12 13:41:50 VMs 1, executed 533, corpus cover 4088, corpus signal 4842, max signal 12352, crashes 0, repro 0
2023/06/12 13:42:00 VMs 1, executed 723, corpus cover 4147, corpus signal 4913, max signal 15336, crashes 0, repro 0
2023/06/12 13:42:10 VMs 1, executed 1261, corpus cover 6259, corpus signal 7485, max signal 15546, crashes 0, repro 0
2023/06/12 13:42:20 VMs 1, executed 1261, corpus cover 6522, corpus signal 7896, max signal 15546, crashes 0, repro 0
2023/06/12 13:42:30 VMs 1, executed 1480, corpus cover 6665, corpus signal 8119, max signal 15743, crashes 0, repro 0
2023/06/12 13:42:40 VMs 1, executed 1560, corpus cover 6688, corpus signal 8143, max signal 15779, crashes 0, repro 0
2023/06/12 13:42:50 VMs 1, executed 1616, corpus cover 6688, corpus signal 8143, max signal 15786, crashes 0, repro 0
2023/06/12 13:43:00 VMs 1, executed 1676, corpus cover 6803, corpus signal 8275, max signal 15799, crashes 0, repro 0
2023/06/12 13:43:10 VMs 1, executed 1736, corpus cover 6803, corpus signal 8280, max signal 15809, crashes 0, repro 0
2023/06/12 13:43:20 VMs 1, executed 1736, corpus cover 6835, corpus signal 8345, max signal 15809, crashes 0, repro 0
2023/06/12 13:43:30 VMs 1, executed 1824, corpus cover 8225, corpus signal 10572, max signal 15813, crashes 0, repro 0
2023/06/12 13:43:40 VMs 1, executed 3064, corpus cover 10486, corpus signal 13234, max signal 16787, crashes 0, repro 0
2023/06/12 13:43:50 VMs 1, executed 3581, corpus cover 10676, corpus signal 15107, max signal 17108, crashes 0, repro 0
2023/06/12 13:44:00 VMs 1, executed 4700, corpus cover 11315, corpus signal 16195, max signal 18134, crashes 0, repro 0
2023/06/12 13:44:10 VMs 1, executed 5337, corpus cover 11343, corpus signal 16254, max signal 18268, crashes 0, repro 0
2023/06/12 13:44:20 VMs 1, executed 5337, corpus cover 12027, corpus signal 16366, max signal 18268, crashes 0, repro 0
2023/06/12 13:44:30 VMs 1, executed 5467, corpus cover 12188, corpus signal 16615, max signal 18438, crashes 0, repro 0
2023/06/12 13:44:40 VMs 1, executed 6538, corpus cover 12754, corpus signal 16990, max signal 18507, crashes 0, repro 0
2023/06/12 13:44:50 VMs 1, executed 6959, corpus cover 13237, corpus signal 17720, max signal 18636, crashes 0, repro 0
2023/06/12 13:45:00 VMs 1, executed 7708, corpus cover 13469, corpus signal 18038, max signal 20826, crashes 0, repro 0
2023/06/12 13:45:10 VMs 1, executed 8620, corpus cover 14161, corpus signal 18931, max signal 21997, crashes 0, repro 0
2023/06/12 13:45:20 VMs 1, executed 8620, corpus cover 14499, corpus signal 19732, max signal 21997, crashes 0, repro 0
